table,lev,lev_name,time,kuski
1,1,"Warm Up","14,37",Stikky
1,2,"Flat Track","16,95",SoGe
1,3,"Twin Peaks","20,36",Stene
1,4,"Over and Under","32,47",Champi0N
1,5,"Uphill Battle","22,79",Stikky
1,6,"Long Haul","36,51",Dux
1,7,"Hi Flyer","36,40",Champi0N
1,8,Tag,"23,07",SoGe
1,9,"Tunnel Terror","1:06,38",Dr_Luni
1,10,"The Steppes","14,28",Karlis
1,11,"Gravity Ride","27,08",psy
1,12,"Islands in the Sky","23,48",Jokke
1,13,"Hill Legend","18,25",psy
1,14,Loop-de-Loop,"18,94",Tuska
1,15,"Serpents Tale","1:10,44",Champi0N
1,16,"New Wave","1:37,72",psy
1,17,Labyrinth,"58,87",YeeS
1,18,Spiral,"47,47",Stikky
1,19,Turnaround,"41,15",Stene
1,20,"Upside Down","1:10,29",Markku
1,21,Hangman,"15,43",Champi0N
1,22,Slalom,"44,91",Champi0N
1,23,"Quick Round","48,98",Jokke
1,24,"Ramp Frenzy","1:02,28",Jokke
1,25,Precarious,"25,55",psy
1,26,Circuitous,"28,57",psy
1,27,"Shelf Life","38,74",Champi0N
1,28,"Bounce Back","56,05",Petri
1,29,Headbanger,"51,03",psy
1,30,Pipe,"35,30",Abula
1,31,"Animal Farm","1:29,72",Jokke
1,32,"Steep Corner","45,49",Markku
1,33,Zig-Zag,"1:53,09",Stene
1,34,"Bumpy Journey","38,59",Tookai
1,35,"Labyrinth Pro","2:44,56",Jokke
1,36,"Fruit in the Den","1:04,57",Jokke
1,37,Jaws,"1:04,06",Champi0N
1,38,Curvaceous,"34,20",Stene
1,39,Haircut,"46,74",psy
1,40,"Double Trouble","1:31,96",loX
1,41,Framework,"42,42",psy
1,42,Enduro,"55,04",YeeS
1,43,"He He","1:04,25",Karlis
1,44,Freefall,"34,27",umiz
1,45,Sink,"34,18",Tuska
1,46,Bowling,"1:14,58",Markku
1,47,Enigma,"48,54",Champi0N
1,48,Downhill,"54,77",Joni
1,49,"What the Heck","45,55",Joni
1,50,"Expert System","1:05,45",psy
1,51,"Tricks Abound","1:01,81",Markku
1,52,"Hang Tight","27,39",Nikke
1,53,Hooked,"18,50",psy
1,54,"Apple Harvest","2:02,63",Champi0N
2,1,"Warm Up","14,37",Stikky
2,2,"Flat Track","16,95",SoGe
2,3,"Twin Peaks","20,01",DeG
2,4,"Over and Under","32,24",Champi0N
2,5,"Uphill Battle","22,59",Ufo
2,6,"Long Haul","35,30",psy
2,7,"Hi Flyer","36,40",Champi0N
2,8,Tag,"22,55",SoGe
2,9,"Tunnel Terror","1:06,38",Dr_Luni
2,10,"The Steppes","14,28",Karlis
2,11,"Gravity Ride","27,08",psy
2,12,"Islands in the Sky","23,20",KingKong
2,13,"Hill Legend","18,25",psy
