table,lev,time,kuski
1,1,"14,37",Stikky
1,2,"16,95",SoGe
1,3,"20,36",Stene
1,4,"32,47",Champi0N
1,5,"22,79",Stikky
1,6,"36,51",Dux
1,7,"36,40",Champi0N
1,8,"23,07",SoGe
1,9,"1:06,38",Dr_Luni
1,10,"14,28",Karlis
1,11,"27,08",psy
1,12,"23,48",Jokke
1,13,"18,25",psy
1,14,"18,94",Tuska
1,15,"1:10,44",Champi0N
1,16,"1:37,72",psy
1,17,"58,87",YeeS
1,18,"47,47",Stikky
1,19,"41,15",Stene
1,20,"1:10,29",Markku
1,21,"15,43",Champi0N
1,22,"44,91",Champi0N
1,23,"48,98",Jokke
1,24,"1:02,28",Jokke
1,25,"25,55",psy
1,26,"28,57",psy
1,27,"38,74",Champi0N
1,28,"56,05",Petri
1,29,"51,03",psy
1,30,"35,30",Abula
1,31,"1:29,72",Jokke
1,32,"45,49",Markku
1,33,"1:53,09",Stene
1,34,"38,59",Tookai
1,35,"2:44,56",Jokke
1,36,"1:04,57",Jokke
1,37,"1:04,06",Champi0N
1,38,"34,20",Stene
1,39,"46,74",psy
1,40,"1:31,96",loX
1,41,"42,42",psy
1,42,"55,04",YeeS
1,43,"1:04,25",Karlis
1,44,"34,27",umiz
1,45,"34,18",Tuska
1,46,"1:14,58",Markku
1,47,"48,54",Champi0N
1,48,"54,77",Joni
1,49,"45,55",Joni
1,50,"1:05,45",psy
1,51,"1:01,81",Markku
1,52,"27,39",Nikke
1,53,"18,50",psy
1,54,"2:02,63",Champi0N
2,1,"14,37",Stikky
2,2,"16,95",SoGe
2,3,"20,01",DeG
2,4,"32,24",Champi0N
2,5,"22,59",Ufo
2,6,"35,30",psy
2,7,"36,40",Champi0N
2,8,"22,55",SoGe
2,9,"1:06,38",Dr_Luni
2,10,"14,28",Karlis
2,11,"27,08",psy
2,12,"23,20",KingKong
2,13,"18,25",psy
2,14,"18,55","d0giz [A51]"
2,15,"1:09,65",psy
2,16,"1:35,76",Champi0N
2,17,"58,87",YeeS
2,18,"46,79",ZanguiZ
